year,product code,title,module code,type,system,setting
1999,,Sea of Fallen Stars,,accessory,AD&D,Forgotten Realms
1999,,Skullport,,accessory,AD&D,Forgotten Realms
1999,,"Van Richten's Monster Hunter's Compendium, Volume One",,accessory,AD&D,Ravenloft
1999,,"Van Richten's Monster Hunter's Compendium, Volume Two",,accessory,AD&D,Ravenloft
1999,,Warriors of Heaven,,accessory,AD&D,
1999,,The Accursed Tower,,adventure,AD&D,Forgotten Realms
1999,,Against the Giants: The Liberation of Geoff,,adventure,AD&D,Greyhawk
1999,,Chaos Spawn: A Chaos War Adventure,,adventure,AD&D,Dragonlance
1999,,Dragonlance Classics: 15th Anniversary Edition,,adventure,AD&D,Dragonlance
1999,,Dungeons of Despair,,adventure,AD&D,
1999,,Ravenloft (25th Anniversary),,adventure,AD&D,Ravenloft
1999,,Return to the Keep on the Borderlands,,adventure,AD&D,
1999,,Return to White Plume Mountain,,adventure,AD&D,Greyhawk
1999,,The Shattered Circle,,adventure,AD&D,
1999,,The Sylvan Veil,,adventure,AD&D,Dragonlance
1999,,TSR Jam 1999,,adventure,AD&D,
1999,,Wand of Archeal,,adventure,AD&D,
1999,,Wyrmskull Throne,,adventure,AD&D,Forgotten Realms
1999,,Deep Dwarven Delve,L3,adventure,AD&D,Greyhawk
